year,origin_name,destination_name,industry,export_share,export_share_ind
2007,Andorra,Rep. of Korea,Machinery/Elec. Equip,0.00014325243588734894,0.0002815937983656574
2007,Andorra,Rep. of Korea,Vehicle,0.00014325243588734894,0.0001382609979821937
2007,Andorra,Rep. of Korea,Optical/Photo. Instr.,0.00014325243588734894,0.00028621737029827367
2007,Andorra,Rep. of Korea,Other,0.00014325243588734894,0.0011084738228346646
2007,Angola,Rep. of Korea,Agri_Food,0.0728157877888892,0.005390731050299962
2007,Angola,Rep. of Korea,Mineral products,0.0728157877888892,0.30318792434034425
2007,Angola,Rep. of Korea,Wood Products,0.0728157877888892,4.336618116482503e-05
2007,Angola,Rep. of Korea,Base metal,0.0728157877888892,6.501532534423627e-05
2007,Angola,Rep. of Korea,Machinery/Elec. Equip,0.0728157877888892,0.0002073693729318852
2007,Angola,Rep. of Korea,Other,0.0728157877888892,3.4756198743194086e-05
2007,Antigua and Barbuda,Rep. of Korea,Agri_Food,3.104892443261323e-05,0.0006357363472518626
2007,Antigua and Barbuda,Rep. of Korea,Machinery/Elec. Equip,3.104892443261323e-05,5.397306053372126e-06
2007,Azerbaijan,Rep. of Korea,Agri_Food,0.04026247694768321,0.00017521545562243997
2007,Azerbaijan,Rep. of Korea,Mineral products,0.04026247694768321,0.1674490599319443
2007,Azerbaijan,Rep. of Korea,Plastic/Rubbers,0.04026247694768321,0.00011429052561659715
2007,Azerbaijan,Rep. of Korea,Footwears,0.04026247694768321,9.865894014859364e-06
2007,Azerbaijan,Rep. of Korea,Base metal,0.04026247694768321,0.00140331449944973
2007,Azerbaijan,Rep. of Korea,Machinery/Elec. Equip,0.04026247694768321,4.026997189941224e-06
2007,Azerbaijan,Rep. of Korea,Other,0.04026247694768321,0.0031049915714350886
2007,Argentina,Rep. of Korea,Agri_Food,0.16914485929413164,1.7713422174859235
2007,Argentina,Rep. of Korea,Mineral products,0.16914485929413164,0.28247509571790647
2007,Argentina,Rep. of Korea,Chemical,0.16914485929413164,0.017967704067012966
2007,Argentina,Rep. of Korea,Plastic/Rubbers,0.16914485929413164,0.008254077508124846
2007,Argentina,Rep. of Korea,Raw Hide,0.16914485929413164,1.4069649823345178
2007,Argentina,Rep. of Korea,Wood Products,0.16914485929413164,0.013123967683131146
2007,Argentina,Rep. of Korea,Textiles,0.16914485929413164,0.021036607520084925
2007,Argentina,Rep. of Korea,Footwears,0.16914485929413164,0.00029812354088044207
2007,Argentina,Rep. of Korea,Base metal,0.16914485929413164,0.05003842731718558
2007,Argentina,Rep. of Korea,Machinery/Elec. Equip,0.16914485929413164,0.00238256192609141
2007,Argentina,Rep. of Korea,Vehicle,0.16914485929413164,0.00033637376957798993
2007,Argentina,Rep. of Korea,Optical/Photo. Instr.,0.16914485929413164,0.012755868588223987
2007,Argentina,Rep. of Korea,Other,0.16914485929413164,0.001597686544274286
2007,Australia,Rep. of Korea,Agri_Food,3.1763419349223643,7.875616803515335
2007,Australia,Rep. of Korea,Mineral products,3.1763419349223643,8.232127005188179
2007,Australia,Rep. of Korea,Chemical,3.1763419349223643,1.0797486919548807
2007,Australia,Rep. of Korea,Plastic/Rubbers,3.1763419349223643,0.17641859592717968
2007,Australia,Rep. of Korea,Raw Hide,3.1763419349223643,0.593311063039653
2007,Australia,Rep. of Korea,Wood Products,3.1763419349223643,1.6209547876016164
2007,Australia,Rep. of Korea,Textiles,3.1763419349223643,0.8427155390246487
2007,Australia,Rep. of Korea,Footwears,3.1763419349223643,3.266003928210933
2007,Australia,Rep. of Korea,Base metal,3.1763419349223643,3.7789595413709853
2007,Australia,Rep. of Korea,Machinery/Elec. Equip,3.1763419349223643,0.3349389531937535
2007,Australia,Rep. of Korea,Vehicle,3.1763419349223643,0.5631451398695797
2007,Australia,Rep. of Korea,Optical/Photo. Instr.,3.1763419349223643,0.31617078765331197
